!= ( 1 ) 
//将输出设置为Sequence类型，方便下一个Job读取处理 ( 1 ) 
//将键值设为word ( 1 ) 
//当命令行输入Hadoop作业的运行参数时，则此命令可取出剩余命令行 ( 1 ) 
//根据官方例程中的WholeFileInputFormat改写 ( 1 ) 
//检查输出目录是否存在，若存在，则删除 ( 2 ) 
//此处的Key为路径，Value为单个文件的内容 ( 1 ) 
//添加到总的JobControl里，进行控制 ( 1 ) 
//等同于 ( 2 ) 
//自定义RecordReader，读取整个小文件内容 ( 1 ) 
//计算先验概率 ( 1 ) 
//返回每个子目录下的所有文本文件 ( 2 ) 
//遍历类，每个类别中再加一个没有出现单词的概率，其格式为<class,probably> ( 1 ) 
//重写listStatus，返回所有文件列表 ( 2 ) 
0 ( 1 ) 
0, ( 4 ) 
0.0; ( 2 ) 
0; ( 2 ) 
0<文档总数<=100，测试文档数设为10 ( 1 ) 
1 ( 4 ) 
1. ( 2 ) 
1.0/(ClassTotalWords.get(entry.getKey()) ( 1 ) 
1.0f:1.0f; ( 1 ) 
1.1 ( 2 ) 
1.2 ( 2 ) 
1.3 ( 2 ) 
1.4 ( 2 ) 
1.5 ( 2 ) 
1.5.1 ( 2 ) 
1.5.2 ( 2 ) 
1.5.3 ( 2 ) 
10 ( 1 ) 
100<文档总数<=200，测试文档数设为15 ( 1 ) 
108 ( 1 ) 
11 ( 3 ) 
128G ( 3 ) 
13 ( 2 ) 
133 ( 1 ) 
139 ( 1 ) 
14 ( 2 ) 
143 ( 1 ) 
148 ( 1 ) 
15 ( 4 ) 
154 ( 1 ) 
16 ( 1 ) 
163 ( 1 ) 
17 ( 1 ) 
184 ( 1 ) 
185 ( 1 ) 
1; ( 1 ) 
2 ( 1 ) 
2. ( 2 ) 
2.00GHz ( 2 ) 
2.1 ( 2 ) 
2.1.1 ( 2 ) 
2.1.2 ( 2 ) 
2.1.3 ( 2 ) 
2.1GHz ( 1 ) 
2.2 ( 2 ) 
20 ( 4 ) 
200 ( 1 ) 
200<文档总数<=400，测试文档数设为20 ( 1 ) 
2020年 ( 1 ) 
210 ( 1 ) 
235 ( 1 ) 
237 ( 1 ) 
243 ( 1 ) 
255 ( 1 ) 
257 ( 1 ) 
263 ( 1 ) 
281 ( 1 ) 
285 ( 1 ) 
3 ( 3 ) 
3. ( 2 ) 
3.1 ( 2 ) 
3.2 ( 2 ) 
30 ( 2 ) 
305 ( 1 ) 
3107 ( 1 ) 
3137 ( 1 ) 
4 ( 2 ) 
4. ( 1 ) 
4.1 ( 2 ) 
4.2 ( 2 ) 
4.3 ( 2 ) 
400<文档总数，测试文档数设为30 ( 1 ) 
440 ( 1 ) 
45 ( 1 ) 
470 ( 1 ) 
5168 ( 1 ) 
5378 ( 1 ) 
6 ( 3 ) 
6) ( 1 ) 
6.1 ( 1 ) 
6.2 ( 1 ) 
6.3 ( 1 ) 
6.4 ( 1 ) 
6.5 ( 1 ) 
6.6 ( 1 ) 
64 ( 3 ) 
68 ( 1 ) 
6; ( 1 ) 
6核12线程 ( 1 ) 
7 ( 1 ) 
7.4 ( 3 ) 
71 ( 1 ) 
72 ( 1 ) 
8 ( 2 ) 
81 ( 1 ) 
8核16线程 ( 2 ) 
9 ( 1 ) 
93 ( 1 ) 
: ( 4 ) 
<InputDataPath> ( 1 ) 
<Output1> ( 1 ) 
<Output2> ( 1 ) 
<Output3> ( 1 ) 
<Output4>" ( 1 ) 
<TestDataPath> ( 1 ) 
= ( 116 ) 
> ( 1 ) 
? ( 1 ) 
@Override ( 11 ) 
ALB ( 1 ) 
ARG ( 1 ) 
AUSTR ( 1 ) 
ArrayList<>(); ( 2 ) 
BELG ( 1 ) 
BRAZ ( 1 ) 
CANA ( 1 ) 
CHINA ( 1 ) 
CPU型号 ( 1 ) 
CPU属性 ( 1 ) 
Cent-OS ( 3 ) 
ClassTotalWords ( 1 ) 
ClassTotalWords.put(key1.toString(), ( 1 ) 
ClassTotalWordsPath ( 1 ) 
ClassWordCount ( 5 ) 
ClassWordCountMap ( 1 ) 
ClassWordCountsPath ( 1 ) 
ClassWordCount的数据流 ( 1 ) 
Classify ( 3 ) 
ClassifyMap ( 1 ) 
ClassifyReduce ( 1 ) 
Classify数据流 ( 1 ) 
Configuration ( 5 ) 
Configuration(); ( 4 ) 
Configured ( 2 ) 
Context ( 7 ) 
ControlledJob ( 4 ) 
ControlledJob(conf); ( 4 ) 
DataPreparation ( 3 ) 
DataPreparation(), ( 1 ) 
DiffTotalWordsPath ( 1 ) 
Double.parseDouble(value.toString().substring(index+1)); ( 2 ) 
Double> ( 4 ) 
Double>(); ( 2 ) 
Double>();//每个类及类对应的单词总数 ( 1 ) 
E5-2620 ( 1 ) 
E5-2650 ( 2 ) 
Evaluation ( 1 ) 
Exception ( 4 ) 
ExistingWord ( 5 ) 
ExistingWordMap ( 1 ) 
ExistingWordReduce ( 1 ) 
ExistingWord的数据流 ( 1 ) 
F1: ( 1 ) 
FSDataInputStream ( 2 ) 
FSDataInputStream(fs.open(fileSplit.getPath())); ( 2 ) 
FileInputFormat.addInputPath(job, ( 1 ) 
FileInputFormat.addInputPath(job2, ( 1 ) 
FileInputFormat.addInputPath(job3, ( 1 ) 
FileInputFormat.addInputPaths(job1, ( 1 ) 
FileInputFormat<LongWritable, ( 1 ) 
FileOutputFormat.setOutputPath(job, ( 1 ) 
FileOutputFormat.setOutputPath(job1, ( 1 ) 
FileOutputFormat.setOutputPath(job2, ( 1 ) 
FileOutputFormat.setOutputPath(job3, ( 1 ) 
FileSplit ( 1 ) 
FileStatus[] ( 2 ) 
FileSystem ( 8 ) 
FileSystem.get(URI.create(ClassTotalWordsPath), ( 1 ) 
FileSystem.get(URI.create(ClassWordCountsPath), ( 1 ) 
FileSystem.get(URI.create(DiffTotalWordsPath), ( 1 ) 
FileSystem.get(URI.create(filePath), ( 1 ) 
FileSystem.get(conf); ( 2 ) 
GFR ( 1 ) 
GenericOptionsParser(conf, ( 2 ) 
GetConditionProbably() ( 1 ) 
GetPriorProbably() ( 1 ) 
HashMap<String, ( 2 ) 
HashTable<String,Double> ( 2 ) 
Hashtable<String, ( 4 ) 
Hashtable<String,Double> ( 2 ) 
IOException ( 3 ) 
IOException, ( 7 ) 
IOException{ ( 4 ) 
IOUtils.closeStream(in); ( 2 ) 
IOUtils.closeStream(reader); ( 1 ) 
IOUtils.closeStream(reader1); ( 1 ) 
IOUtils.closeStream(reader2); ( 1 ) 
IOUtils.closeStream(reader3); ( 1 ) 
IOUtils.readFully(in, ( 2 ) 
IntWritable ( 8 ) 
IntWritable(1); ( 2 ) 
IntWritable, ( 3 ) 
IntWritable> ( 1 ) 
IntWritable>{ ( 3 ) 
InterruptedException ( 3 ) 
InterruptedException{ ( 4 ) 
Iterable<IntWritable> ( 1 ) 
Iterable<Text> ( 1 ) 
JAP ( 1 ) 
Job ( 4 ) 
Job.getInstance(conf, ( 4 ) 
JobControl ( 1 ) 
JobControl("NaiveBayes"); ( 1 ) 
Job名 ( 1 ) 
Laplace平滑 ( 2 ) 
List<FileStatus> ( 6 ) 
M201977221 ( 1 ) 
Mapper<Text, ( 4 ) 
MapsAndReduces ( 3 ) 
Map与Reduce速度不匹配 ( 1 ) 
Map程序得到上述格式的数据后，可以根据文件路径得到类名（父目录名）与文件名（当前目录名）。并将key设置为<类名：单词>的格式，value即设置为1。 ( 1 ) 
Master ( 1 ) 
Math.log(Model.wordsProbably.get(className)); ( 1 ) 
Math.log(Model.wordsProbably.get(tempkey)); ( 1 ) 
Math.log(entry.getValue());//构建临时键值对的value为各概率相乘,转化为各概率取对数再相加 ( 1 ) 
Model ( 3 ) 
Model.GetConditionProbably(); ( 2 ) 
Model.GetPriorProbably(); ( 2 ) 
MultiFileWordCount ( 5 ) 
MultiFileWordCountMap ( 1 ) 
MultiFileWordCount数据流 ( 1 ) 
MyFileInputFormat ( 3 ) 
MyFileRecordReader ( 4 ) 
MyFileRecordReader(); ( 1 ) 
No ( 2 ) 
N是总的样本个数，k是总的类别个数，是类别为的样本个数，是平滑值。 ( 1 ) 
OutPath ( 1 ) 
OutPath); ( 1 ) 
OutPath1 ( 1 ) 
OutPath1); ( 1 ) 
OutPath2 ( 1 ) 
OutPath2); ( 1 ) 
OutPath3 ( 1 ) 
OutPath3); ( 1 ) 
OutPath4 ( 1 ) 
P(Precision,精度): ( 1 ) 
Path ( 10 ) 
Path(ClassTotalWordsPath); ( 1 ) 
Path(ClassWordCountsPath); ( 1 ) 
Path(DiffTotalWordsPath); ( 1 ) 
Path(filePath); ( 1 ) 
Path(key.toString()).getName(); ( 2 ) 
Path(key.toString()).getParent().getName() ( 1 ) 
Path(key.toString()).getParent().getName()+":"+tmp); ( 1 ) 
Path(otherArgs[1] ( 2 ) 
Path(otherArgs[1]); ( 1 ) 
Path(otherArgs[2]); ( 1 ) 
Path(otherArgs[3]); ( 1 ) 
Path(otherArgs[4])); ( 1 ) 
Path(otherArgs[5]); ( 2 ) 
Prediction ( 3 ) 
Prediction(), ( 1 ) 
Prediction.getArgs(); ( 1 ) 
P和R的调和平均： ( 1 ) 
R(Recall,精度): ( 1 ) 
RUSS ( 1 ) 
RecordReader ( 1 ) 
RecordReader<LongWritable, ( 1 ) 
RecordReader<Text, ( 2 ) 
Reducer<Text, ( 2 ) 
Reduce则直接使用自带的IntSumReducer计算总和即可。 ( 1 ) 
Reduce端将概率最大的类设置为该样本所属的类。 ( 1 ) 
ReflectionUtils.newInstance(reader.getKeyClass(), ( 1 ) 
SequenceFile.Reader ( 5 ) 
SequenceFile.Reader(conf, ( 1 ) 
SequenceFile.Reader(fs, ( 2 ) 
SequenceFile.Reader(fs1, ( 1 ) 
SequenceFile.Reader(fs2, ( 1 ) 
SequenceFile.Reader(fs3, ( 1 ) 
SequenceFile.Reader.file(path1)); ( 1 ) 
Slave1 ( 1 ) 
Slave2 ( 1 ) 
String ( 13 ) 
String(contextByte, ( 2 ) 
StringTokenizer ( 2 ) 
StringTokenizer(line); ( 1 ) 
StringTokenizer(value.toString()); ( 1 ) 
String[] ( 5 ) 
System.exit(ret); ( 2 ) 
System.out.println("Usage ( 1 ) 
System.out.println(TotalDiffWords); ( 1 ) 
System.out.println(jobCtrl.getSuccessfulJobList()); ( 1 ) 
System.out.println(key ( 1 ) 
TaskAttemptContext ( 2 ) 
Text ( 17 ) 
Text(); ( 9 ) 
Text, ( 9 ) 
Text> ( 4 ) 
Text>{ ( 2 ) 
Thread ( 1 ) 
Thread(jobCtrl); ( 1 ) 
Tool ( 2 ) 
ToolRunner.run(new ( 2 ) 
TotalDiffWords ( 2 ) 
TotalDiffWords) ( 1 ) 
TotalDiffWords)); ( 1 ) 
USA ( 1 ) 
V0 ( 2 ) 
V2 ( 1 ) 
Yes ( 2 ) 
\\将正确结果与分类结果同时打印，方便直观检查 ( 1 ) 
\t" ( 1 ) 
args) ( 4 ) 
args).getRemainingArgs(); ( 2 ) 
args); ( 2 ) 
boolean ( 5 ) 
byte[(int)fileSplit.getLength()]; ( 2 ) 
byte[] ( 2 ) 
class ( 13 ) 
className ( 2 ) 
classProbably ( 2 ) 
classProbably.put(key.toString(), ( 1 ) 
classProbably; ( 1 ) 
close(){ ( 1 ) 
conf ( 4 ) 
conf); ( 17 ) 
conf; ( 1 ) 
context ( 2 ) 
context) ( 5 ) 
context)throws ( 2 ) 
context, ( 1 ) 
context.write(key, ( 2 ) 
context.write(newKey, ( 3 ) 
context.write(word, ( 1 ) 
contextByte ( 2 ) 
contextByte, ( 2 ) 
contextByte.length); ( 4 ) 
createRecordReader(InputSplit ( 1 ) 
ctrljob1 ( 1 ) 
ctrljob1.setJob(job1); ( 1 ) 
ctrljob2 ( 1 ) 
ctrljob2.addDependingJob(ctrljob1); ( 1 ) 
ctrljob2.setJob(job2); ( 1 ) 
ctrljob3 ( 1 ) 
ctrljob3.addDependingJob(ctrljob1); ( 1 ) 
ctrljob3.setJob(job3); ( 1 ) 
ctrljob4 ( 1 ) 
ctrljob4.setJob(job); ( 1 ) 
dir ( 2 ) 
dir.getPath().getFileSystem(job.getConfiguration()).listStatus(dir.getPath()); ( 2 ) 
dirs ( 2 ) 
dirs){ ( 2 ) 
docID ( 2 ) 
double ( 4 ) 
else{//如果测试文档中出现了新单词则加上之前计算新单词概率 ( 1 ) 
entry.getKey();//类名 ( 1 ) 
entry:ClassTotalWords.entrySet()){ ( 1 ) 
entry:Model.classProbably.entrySet()){//外层循环遍历所有类别 ( 1 ) 
extends ( 11 ) 
false ( 2 ) 
false; ( 4 ) 
false;//标记,若第一次循环则先赋值,否则比较若概率更大则更新 ( 1 ) 
filePath ( 1 ) 
fileSplit.getPath().getFileSystem(conf); ( 2 ) 
fileSplit; ( 1 ) 
filename) ( 1 ) 
files ( 2 ) 
final ( 2 ) 
flag ( 2 ) 
float ( 1 ) 
for(FileStatus ( 2 ) 
for(Map.Entry<String, ( 1 ) 
for(Map.Entry<String,Double> ( 1 ) 
for(Text ( 1 ) 
fs ( 4 ) 
fs1 ( 1 ) 
fs2 ( 1 ) 
fs3 ( 1 ) 
getArgs(){return ( 2 ) 
getCurrentKey(){ ( 1 ) 
getCurrentValue(){ ( 1 ) 
getProgress(){ ( 1 ) 
hdfs ( 2 ) 
hdfs.delete(OutPath, ( 1 ) 
hdfs.delete(OutPath1, ( 1 ) 
hdfs.delete(OutPath2, ( 1 ) 
hdfs.delete(OutPath3, ( 1 ) 
if(!flag){//循环第一次 ( 1 ) 
if(!process){ ( 2 ) 
if(Double.parseDouble(value.toString().substring(index+1)) ( 1 ) 
if(Model.wordsProbably.containsKey(tempkey)){ ( 1 ) 
if(hdfs.exists(OutPath)) ( 1 ) 
if(hdfs.exists(OutPath1)) ( 1 ) 
if(hdfs.exists(OutPath2)) ( 1 ) 
if(hdfs.exists(OutPath3)) ( 1 ) 
if(jobCtrl.allFinished()){ ( 1 ) 
if(otherArgs.length ( 1 ) 
if(tmp.matches("[a-zA-Z]+")) ( 1 ) 
implements ( 2 ) 
in ( 4 ) 
in.read(contextByte, ( 2 ) 
index ( 4 ) 
index)); ( 1 ) 
index));//得到单词所在的类 ( 1 ) 
index); ( 2 ) 
initialize(InputSplit ( 1 ) 
inputSplit, ( 2 ) 
int ( 8 ) 
isSplitable(JobContext ( 1 ) 
itr ( 2 ) 
itr.nextToken(); ( 1 ) 
itr.nextToken();//构建临时键值对<class:word>,在wordsProbably表中查找对应的概率 ( 1 ) 
jar命令指定执行文件并传入输入输出目录。 ( 1 ) 
job ( 1 ) 
job) ( 2 ) 
job.setInputFormatClass(MyFileInputFormat.class); ( 1 ) 
job.setJarByClass(DataPreparation.class); ( 1 ) 
job.setMapOutputKeyClass(Text.class); ( 1 ) 
job.setMapOutputValueClass(Text.class); ( 1 ) 
job.setMapperClass(MapsAndReduces.ClassifyMap.class); ( 1 ) 
job.setOutputFormatClass(SequenceFileOutputFormat.class); ( 1 ) 
job.setOutputKeyClass(Text.class); ( 1 ) 
job.setOutputValueClass(Text.class); ( 1 ) 
job.setReducerClass(MapsAndReduces.ClassifyReduce.class); ( 1 ) 
job.waitForCompletion(true) ( 1 ) 
job1 ( 1 ) 
job1.setCombinerClass(IntSumReducer.class); ( 1 ) 
job1.setInputFormatClass(MyFileInputFormat.class); ( 1 ) 
job1.setJarByClass(DataPreparation.class); ( 1 ) 
job1.setMapOutputKeyClass(Text.class);//map阶段的输出的key ( 1 ) 
job1.setMapOutputValueClass(IntWritable.class);//map阶段的输出的value ( 1 ) 
job1.setMapperClass(MapsAndReduces.MultiFileWordCountMap.class); ( 1 ) 
job1.setOutputFormatClass(SequenceFileOutputFormat.class); ( 1 ) 
job1.setOutputKeyClass(Text.class); ( 1 ) 
job1.setOutputKeyClass(Text.class);//reduce阶段的输出的key ( 1 ) 
job1.setOutputValueClass(IntWritable.class); ( 1 ) 
job1.setOutputValueClass(IntWritable.class);//reduce阶段的输出的value ( 1 ) 
job1.setReducerClass(IntSumReducer.class); ( 1 ) 
job2 ( 1 ) 
job2.setInputFormatClass(SequenceFileInputFormat.class); ( 1 ) 
job2.setJarByClass(DataPreparation.class); ( 1 ) 
job2.setMapOutputKeyClass(Text.class); ( 1 ) 
job2.setMapOutputValueClass(IntWritable.class); ( 1 ) 
job2.setMapperClass(MapsAndReduces.ClassWordCountMap.class); ( 1 ) 
job2.setOutputFormatClass(SequenceFileOutputFormat.class); ( 1 ) 
job2.setOutputKeyClass(Text.class); ( 1 ) 
job2.setOutputValueClass(IntWritable.class); ( 1 ) 
job2.setReducerClass(IntSumReducer.class); ( 1 ) 
job2.setReducerClass(MapsAndReduces.ClassWordCountReduce.class); ( 1 ) 
job3 ( 1 ) 
job3.setCombinerClass(MapsAndReduces.ExistingWordReduce.class); ( 1 ) 
job3.setInputFormatClass(SequenceFileInputFormat.class); ( 1 ) 
job3.setJarByClass(DataPreparation.class); ( 1 ) 
job3.setMapOutputKeyClass(Text.class); ( 1 ) 
job3.setMapOutputValueClass(IntWritable.class); ( 1 ) 
job3.setMapperClass(MapsAndReduces.ExistingWordMap.class); ( 1 ) 
job3.setOutputFormatClass(SequenceFileOutputFormat.class); ( 1 ) 
job3.setOutputKeyClass(Text.class); ( 1 ) 
job3.setOutputValueClass(IntWritable.class); ( 1 ) 
job3.setReducerClass(MapsAndReduces.ExistingWordReduce.class); ( 1 ) 
jobCtrl ( 1 ) 
jobCtrl.addJob(ctrljob1); ( 1 ) 
jobCtrl.addJob(ctrljob2); ( 1 ) 
jobCtrl.addJob(ctrljob3); ( 1 ) 
jobCtrl.stop(); ( 1 ) 
key ( 2 ) 
key, ( 6 ) 
key.set(fileSplit.getPath().toString()); ( 2 ) 
key.toString().indexOf(":"); ( 2 ) 
key1 ( 1 ) 
key2 ( 1 ) 
key3 ( 1 ) 
key3.toString().indexOf(":"); ( 1 ) 
key; ( 1 ) 
line ( 1 ) 
listStatus(JobContext ( 2 ) 
long ( 1 ) 
main(String[] ( 2 ) 
map(Text ( 4 ) 
map阶段，每个map负责一个文本样本在所有类中的概率计算。设此样本属于某个类的概率设为classProb，首先将该类的先验概率取log，作为classProb的初始值，然后对文本中所有单词在该类下的条件概率取Log，然后相加求和。得到此样本属于该类的概率，最后将key设为“文档名”，value设为“类名 ( 1 ) 
negatives ( 2 ) 
new ( 58 ) 
newKey ( 4 ) 
newKey.set(docID);//新的键值的key为<文档名> ( 1 ) 
newKey.set(key.toString().substring(0, ( 1 ) 
newKey.set(key.toString().substring(index+1)); ( 1 ) 
newKey.set(key3.toString().substring(0, ( 1 ) 
newValue ( 2 ) 
newValue); ( 2 ) 
newValue);//一份文档遍历在一个类中遍历完毕,则将结果写入文件,即<docID,<class:probably>> ( 1 ) 
newValue.set(className ( 1 ) 
newValue.set(tempClass); ( 1 ) 
nextKeyValue() ( 2 ) 
null; ( 7 ) 
one ( 2 ) 
one); ( 2 ) 
otherArgs ( 3 ) 
otherArgs; ( 2 ) 
otherArgs;} ( 2 ) 
otherArgs[0]); ( 1 ) 
otherArgs[1]+"/part-r-00000"; ( 1 ) 
otherArgs[2]+"/part-r-00000"; ( 2 ) 
otherArgs[3]+"/part-r-00000"; ( 1 ) 
path ( 1 ) 
path, ( 2 ) 
path1 ( 1 ) 
path1, ( 1 ) 
path2 ( 1 ) 
path2, ( 1 ) 
path3 ( 1 ) 
path3, ( 1 ) 
position ( 1 ) 
positives ( 2 ) 
printUsage() ( 1 ) 
printUsage(); ( 1 ) 
private ( 16 ) 
process ( 3 ) 
process? ( 1 ) 
protected ( 3 ) 
public ( 32 ) 
reader ( 5 ) 
reader.getPosition();//设置标记点，标记文档起始位置，方便后面再回来遍历 ( 1 ) 
reader.initialize(inputSplit, ( 1 ) 
reader.seek(position);//重置到前面定位的标记点 ( 1 ) 
reader1 ( 2 ) 
reader2 ( 2 ) 
reader3 ( 2 ) 
reader; ( 1 ) 
reduce(Text ( 2 ) 
res ( 2 ) 
res.addAll(Arrays.asList(files)); ( 2 ) 
res; ( 2 ) 
ret ( 2 ) 
return ( 16 ) 
run(String[] ( 2 ) 
setup(Context ( 1 ) 
static ( 18 ) 
super.listStatus(job); ( 2 ) 
table） ( 1 ) 
taskAttemptContext) ( 1 ) 
taskAttemptContext); ( 1 ) 
taskAttemptContext){ ( 1 ) 
taskAttemptContext.getConfiguration(); ( 1 ) 
tempClass ( 3 ) 
tempProbably ( 3 ) 
tempProbably){ ( 1 ) 
tempkey ( 1 ) 
tempvalue ( 3 ) 
tempvalue);//新的键值的value为<类名:概率>,即<class:probably> ( 1 ) 
theController ( 1 ) 
theController.start(); ( 1 ) 
this.conf ( 1 ) 
this.fileSplit ( 1 ) 
throws ( 16 ) 
tmp ( 1 ) 
totalWords ( 2 ) 
true ( 2 ) 
true); ( 4 ) 
true; ( 5 ) 
try ( 2 ) 
try{ ( 4 ) 
value ( 2 ) 
value); ( 2 ) 
value, ( 4 ) 
value.get()/totalWords);//P(c)=类c下的单词总数/整个训练样本的单词总数 ( 1 ) 
value.get();//得到训练集总单词数 ( 1 ) 
value.set(context); ( 2 ) 
value.toString().indexOf(":"); ( 1 ) 
value.toString().substring(0, ( 2 ) 
value.toString(); ( 1 ) 
value1 ( 1 ) 
value1.get()); ( 1 ) 
value1.get()*1.0); ( 1 ) 
value2 ( 1 ) 
value2.get(); ( 1 ) 
value3 ( 1 ) 
value:values){ ( 1 ) 
value; ( 1 ) 
values, ( 1 ) 
values,Context ( 1 ) 
void ( 12 ) 
while ( 1 ) 
while(itr.hasMoreTokens()){//内层循环遍历一份测试文档中的所有单词 ( 1 ) 
while(reader.next(key,value)){ ( 2 ) 
while(reader1.next(key1,value1)){ ( 1 ) 
while(reader2.next(key2,value2)){ ( 1 ) 
while(reader3.next(key3,value3)){ ( 1 ) 
while(true){ ( 1 ) 
word ( 1 ) 
word.set(new ( 1 ) 
word2...> ( 2 ) 
wordsProbably ( 2 ) 
wordsProbably.put(entry.getKey(), ( 1 ) 
wordsProbably.put(key3.toString(), ( 1 ) 
wordsProbably; ( 1 ) 
{//过滤掉以存在非字母的词 ( 1 ) 
}else{//否则当概率更大时就更新tempClass和tempProbably ( 1 ) 
}finally ( 2 ) 
}finally{ ( 4 ) 
—— ( 2 ) 
…… ( 1 ) 
① ( 1 ) 
② ( 1 ) 
③ ( 1 ) 
④ ( 1 ) 
。 ( 3 ) 
一、朴素贝叶斯分类器 ( 2 ) 
一种常见的参数选择方式是且，得到如下概率估计公式： ( 1 ) 
三、分类器的评估 ( 2 ) 
与出现过的单词数，然后采用1.5.1节中所描述的多项式模型： ( 1 ) 
与多项式模型一样，伯努利模型适用于离散特征的情况，所不同的是，多重伯努利事件空间是一种布尔独立模型的事件空间，为每一个词组建立一个二值随机变量。最简单的方式就是使用最大似然估计来估计概率，即式： ( 1 ) 
之后MapReduce过程则对样本进行分类，得到key为文件名，value为类名的结果。 ( 1 ) 
二、贝叶斯程序设计 ( 2 ) 
五、总结 ( 2 ) 
任务划分 ( 1 ) 
伯努利模型 ( 2 ) 
但是该分类器存在处理速度较慢的问题，主要原因是小文件过多，即使设置默认不分片，分片数量也与文件数量相同，从而使map数量达到5168个，使得MapReduce过程文件读取开销过大。后期可以采用合并小文件为序列化文件后再处理。 ( 1 ) 
位数 ( 1 ) 
作用 ( 1 ) 
使用log将乘法化为加法 ( 2 ) 
使用三台服务器搭建一个完全分布式Hadoop作为测试集群，服务器具体配置信息如表4所示。 ( 1 ) 
先验概率 ( 1 ) 
先验概率与类条件概率的具体算法与所取的模型有关，细节将在1.5节介绍。 ( 1 ) 
六、 ( 2 ) 
关键字：MapReduce贝叶斯 ( 1 ) 
其中，为类下文件总数，为整个训练样本的文件总数。 ( 1 ) 
其中，是类c下单词总数，为整个训练样本的单词总数。 ( 2 ) 
其中，每个a为X的一个特征属性，而且特征属性之间相互独立 ( 1 ) 
其中，表示训练样本包含多少种单词。 ( 1 ) 
其中，表示训练集中类别中词组出现的次数。表示训练集类别中的总词数，表示训练样本包含多少种单词。 ( 1 ) 
其中：表示类别含有词组的样本数量。平滑之后，多重伯努利模型的平滑估计如下式所示： ( 1 ) 
其中：表示训练集中类别中词组出现的次数。表示训练集类别中的总词数。加入平滑估计的概率如式： ( 1 ) 
内存 ( 1 ) 
出现次数>、<单词 ( 1 ) 
出现次数>的keyvalue结果将以Sequence文件储存在HDFS中，然后将测试集上传至HDFS执行分类过程。下面将分别对这两个过程讲解。 ( 1 ) 
分 ( 1 ) 
分别得到key为“类名 ( 1 ) 
分类 ( 2 ) 
分类器预测的类别 ( 1 ) 
分类过程利用数据准备过程提供的数据，在执行MapReduce之前，先进行先验概率和条件概率的初始化工作。将并将其以键值对的形式存入两个Hashtable中，用以高效查询概率。 ( 1 ) 
分类阶段 ( 2 ) 
则 ( 1 ) 
